Keyword,Count
mini pantries,1
students passed,1
public schools,1
reduced lunch,1
connected community,1
monthly food,1
okay,1
student rights,1
wages graduate,1
support student,1
leaving comment,1
comment,1
pantry employees,1
comment box,1
situation,1
tell,1
discounts certain,1
certain stores,1
students lower,1
connected,1
campus works,1
build connected,1
policemen near,1
locations campus,1
campus advisors,1
policemen,1
pantry easier,1
make pantry,1
colleagues,1
insecurity big,1
insecurity,1
add,1
add cafe,1
cafe campus,1
facility,1
facility housing,1
certain,1
cost students,1
resources beginning,1
expensive student,1
end garnishment,1
grandkids garnishment,1
garnishment,1
garnishment hurts,1
garnishment adequately,1
provide lower,1
stipend time,1
housing provide,1
cover rent,1
potluck events,1
beginning semester,1
casual potluck,1
potluck,1
events month,1
living raises,1
graduate,1
wages better,1
graduate workers,1
negotiate graduate,1
provide site,1
cafeteria options,1
diverse cafeteria,1
invite food,1
cost rent,1
site,1
site food,1
provide temporary,1
realtors apartment,1
education long,1
higher education,1
raises especially,1
sf availability,1
salaries education,1
kiosks,1
patrols vicinity,1
students continue,1
teachers expensive,1
plan teachers,1
slightly city,1
affordable health,1
teachers,1
city limits,1
faculty state,1
patrols,1
provide transportation,1
step patrols,1
vicinity,1
step,1
neighborhoods students,1
city officials,1
housing town,1
increased,1
don feel,1
wage provide,1
annual raises,1
feel safe,1
working initiatives,1
believe advertise,1
safe living,1
campus dinning,1
create housing,1
vouchers campus,1
dinning,1
like survey,1
flyers send,1
survey,1
send emails,1
wage linear,1
path stability,1
people help,1
intel,1
agencies help,1
access agencies,1
teachers staff,1
subsidize similarly,1
food brought,1
intel does,1
similarly intel,1
needs group,1
employees making,1
wonderful employees,1
income area,1
bulletins kiosks,1
marketing bulletins,1
marketing,1
set foundation,1
campus education,1
education resource,1
food variety,1
fundraisers,1
fundraisers creative,1
city fundraisers,1
time,1
university advertise,1
pantry university,1
care,1
staff care,1
people ashamed,1
ask help,1
help needs,1
add better,1
campus better,1
regardless income,1
pantry regardless,1
available employees,1
store closer,1
emergency scholarships,1
locations,1
offer locations,1
locations food,1
public transportation,1
food hours,1
pay position,1
resources access,1
provide grocery,1
position,1
near university,1
discounted housing,1
grocery gift,1
pay groceries,1
fund emergency,1
college provides,1
bank students,1
retirement open,1
nice retirement,1
retirement money,1
mandatory retirement,1
enrollment buses,1
increase enrollment,1
universities increase,1
college expand,1
scholarships address,1
educate students,1
fast food,1
housing availability,1
buy groceries,1
groceries closer,1
does resources,1
staff aside,1
initiatives,1
university fund,1
wages affordable,1
employee rent,1
housing new,1
housing condo,1
cafeterã,1
pantries accessible,1
department pantries,1
aside administration,1
salaries increased,1
support staff,1
increased salaries,1
living increased,1
local resources,1
better support,1
cost campus,1
parking campus,1
hours,1
provide hours,1
increase food,1
pantry locations,1
events events,1
events food,1
student groups,1
impact families,1
families campus,1
retirement plans,1
wage work,1
adequate wage,1
offer options,1
