Question,Institution,Total Responses,Non-empty Responses,Informative Responses,Non_Informative_Count,Sentiment_Positive,Sentiment_Negative,Sentiment_Neutral,Top_Keywords,Top_Topics
Is there anything else you would like to share?,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,"students need, learn successfully, loans health, student loans, lived oppressed",
Is there anything else you would like to share?,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,"thank, santa fe, impossible stay, kids, help",
Is there anything else you would like to share?,DinÃ© College,,,,0.0,0.0,0.0,0.0,"thank, cost utilities, utilities, survey didnâ, prizing survey",
Is there anything else you would like to share?,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,"food issues, price food, eat healthy, healthy food, hope eat",
Is there anything else you would like to share?,Western New Mexico University,,,,0.0,0.0,0.0,0.0,"zoom events, planet overpopulated, reward people, events, zoom",
Is there anything else you would like to share?,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,"thank survey, nm students, students, caring nm, survey thank",
Is there anything else you would like to share?,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,"houses university, close campus, miles, 95 miles, miles office",
Is there anything else you would like to share?,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,"students food, pantry helps, pantry, helps students, students",
Is there anything else you would like to share?,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,"devaluing faculty, branch faculty, faculty promoting, alb faculty, faculty work",
Please select the reasons for not visiting the campus food pantry.,Response Counts,,,,,,,,,
,Central New Mexico Community College,564.0,564.0,69.0,,,,,,
,Clovis Community College,75.0,75.0,15.0,,,,,,
,DinÃ© College,23.0,23.0,5.0,,,,,,
,Dona Ana Branch Community College,63.0,63.0,8.0,,,,,,
,"Eastern New Mexico University, Portales",74.0,74.0,8.0,,,,,,
,"Eastern New Mexico University, Roswell",96.0,96.0,20.0,,,,,,
,"Eastern New Mexico University, Ruidoso",20.0,20.0,5.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",37.0,37.0,5.0,,,,,,
,Luna Community College,35.0,35.0,12.0,,,,,,
,Mesalands Community College,33.0,33.0,4.0,,,,,,
,"Navajo Technical University, Crownpoint",29.0,29.0,15.0,,,,,,
,New Mexico Highlands University,57.0,57.0,2.0,,,,,,
,New Mexico Institute of Mining and Technology,96.0,96.0,14.0,,,,,,
,New Mexico Junior College,72.0,72.0,11.0,,,,,,
,"New Mexico State University, Alamogordo",47.0,47.0,6.0,,,,,,
,"New Mexico State University, Grants",19.0,19.0,2.0,,,,,,
,"New Mexico State University, Las Cruces",210.0,210.0,28.0,,,,,,
,Northern New Mexico College,61.0,61.0,7.0,,,,,,
,San Juan College,219.0,219.0,34.0,,,,,,
,Santa Fe Community College,107.0,107.0,13.0,,,,,,
,Southeast New Mexico College,30.0,30.0,4.0,,,,,,
,"University of New Mexico, Albuquerque",699.0,699.0,66.0,,,,,,
,"University of New Mexico, Gallup",50.0,50.0,17.0,,,,,,
,"University of New Mexico, Los Alamos",16.0,16.0,1.0,,,,,,
,"University of New Mexico, Taos",37.0,37.0,6.0,,,,,,
,"University of New Mexico, Valencia",41.0,41.0,6.0,,,,,,
,Western New Mexico University,22.0,22.0,2.0,,,,,,
Please select the reasons for not visiting the campus food pantry.,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",Topic 0: 31 responses; Topic 1: 21 responses; Topic 2: 9 responses; Topic 3: 8 responses
Please select the reasons for not visiting the campus food pantry.,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,"students need, help, students, need help, need",Topic 0: 30 responses; Topic 1: 23 responses; Topic 2: 9 responses
Please select the reasons for not visiting the campus food pantry.,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,"location inconvenient, inconvenient, location, students need, help",Topic 0: 9 responses; Topic 1: 4 responses; Topic 2: 4 responses
Please select the reasons for not visiting the campus food pantry.,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,"students need, students, help, need help, need",
