Keyword,Count
acquire provide,1
broader selection,1
center,1
center acquire,1
area center,1
associates like,1
associates,1
wish meal,1
help associates,1
don available,1
options hours,1
vegetarian vegan,1
needed vegetarian,1
eating options,1
healthy eating,1
needs broader,1
itâ leftovers,1
escasa,1
options lower,1
poor unhealthy,1
affordability,1
closed cafeteria,1
reopening students,1
cafeteria used,1
used campus,1
choices poor,1
cafeteria sfcc,1
es escasa,1
sfcc hasn,1
operation covid,1
sufficient services,1
services,1
discounted meals,1
meals needed,1
affordability isn,1
purchase lunches,1
breakfasts campus,1
availability affordability,1
probably healthier,1
healthier cheaper,1
staffing,1
probably staffing,1
staffing issue,1
particularly healthy,1
inconvenient meal,1
meal bring,1
specials,1
fridays,1
open fridays,1
obtain meal,1
limited fine,1
supply students,1
limited supply,1
students families,1
cafeteria don,1
costly cafeteria,1
cafeteria choose,1
students cafeteria,1
sourcing ingredients,1
help campus,1
kitchen help,1
campus afford,1
sufficient use,1
dosnt,1
pertain,1
dosnt pertain,1
variety choices,1
unhealthy super,1
campus unhealthy,1
everyday,1
food cost,1
food everyday,1
good time,1
variety choose,1
expensive afford,1
bar available,1
enjoy,1
restaurants restaurants,1
variety restaurants,1
places grab,1
quick bite,1
plenty places,1
campus good,1
supply campus,1
think food,1
like healthier,1
limited best,1
best,1
healthier bagel,1
places pretty,1
quite places,1
high priced,1
supply unsafe,1
campus bagel,1
campus meal,1
bagel menu,1
healthy cost,1
meal plans,1
student dining,1
limited far,1
gotten food,1
access healthy,1
food instability,1
lunch 11am,1
cater lunch,1
foods salads,1
vegetables meats,1
sodexho offers,1
various foods,1
sodexho,1
short,1
short hours,1
options eat,1
campus usually,1
œhealthy mealâ,1
19 œhealthy,1
mealâ campus,1
helps,1
helps lot,1
insufficient healthy,1
think unm,1
food desert,1
need cafe,1
itâ incredibly,1
good improve,1
improve selection,1
size good,1
ok limited,1
healthy affordable,1
affordable vegetarian,1
vegetarian burrito,1
southwest,1
limited southwest,1
southwest menu,1
cafeteria bookstore,1
location campus,1
grateful campus,1
incredibly,1
incredibly wonderful,1
cafe healthy,1
program,1
great program,1
big salads,1
soup affordable,1
salads eat,1
eat extra,1
machines limited,1
affordable price,1
selection affordable,1
accessible calendar,1
calendar closings,1
hours available,1
hours predictable,1
meals salad,1
options adequate,1
individuals dietary,1
items expensive,1
starving expensive,1
repetitious,1
limited repetitious,1
foods choose,1
campus variety,1
chefs,1
quality issue,1
staff chefs,1
quality difficulties,1
customers salad,1
age students,1
cafeteria catering,1
excelente,1
idea students,1
starving,1
buy starving,1
bring hungry,1
resource,1
resource students,1
good resource,1
quality afford,1
meals daily,1
need nutritious,1
outlets,1
need outlets,1
like vegan,1
vegan choices,1
cost effective,1
employees,1
effective options,1
options employees,1
say food,1
expensive bring,1
valencia,1
health issues,1
variety unm,1
unm valencia,1
limited costly,1
options walking,1
high school,1
chioces,1
chioces high,1
limited chioces,1
really doesn,1
doesn apply,1
availability cafeteria,1
allergies,1
variety individuals,1
individuals food,1
freshness,1
just cafeteria,1
freshness ingredients,1
important freshness,1
provider campus,1
food provider,1
room,1
ton,1
ton room,1
room improvement,1
available cafe,1
lecture halls,1
kiosks,1
great kiosks,1
kiosks near,1
lots,1
insufficient lack,1
good healthy,1
pasta items,1
foods starbucks,1
campus specialty,1
campus covid,1
location food,1
closed unexpectedly,1
cafeteria way,1
way priced,1
convenience foods,1
option hot,1
cafe good,1
institute cafe,1
encouraging,1
stuff encouraging,1
wonderful stuff,1
good wonderful,1
locations pre,1
campus purchasing,1
offer food,1
believe good,1
good access,1
forgot lunch,1
stranded campus,1
campus forgot,1
cost going,1
limited cost,1
grab street,1
great students,1
don offer,1
addressed,1
availability addressed,1
great discount,1
meals great,1
appreciate safe,1
safe lives,1
lives,1
help people,1
fresh salads,1
campus lacks,1
lack variety,1
lunch daily,1
salads dion,1
subway salads,1
food subway,1
place food,1
cafeteria primary,1
better cafeteria,1
ones nutritious,1
needs students,1
people,1
help,1
wish option,1
campus depends,1
basic cafe,1
cafe campus,1
expensive average,1
average student,1
plenty selection,1
selection campus,1
unqualified,1
quality unqualified,1
food cafe,1
greasy food,1
like spicy,1
cafe school,1
type food,1
perfect,1
discount helps,1
lunch choices,1
variety healthier,1
available kind,1
cafeteria contractor,1
contractor,1
contractor does,1
does best,1
selection available,1
kind expensive,1
campus sufficient,1
healthy lunch,1
variety dining,1
students selection,1
cost inflation,1
higher cost,1
better student,1
campus lunch,1
unhealthy foods,1
food cnm,1
diversified,1
fast options,1
campus cheaper,1
idea service,1
service students,1
eat healthy,1
weekdays,1
easy eat,1
healthy weekdays,1
campus people,1
meager,1
program pantry,1
hours pricey,1
available limited,1
variety vegetables,1
campus wish,1
choices choose,1
campus live,1
gallup,1
readably,1
readably available,1
food readably,1
nutritious fried,1
somewhat nutritious,1
salads lack,1
