Topic,Count,Name,Representation,Representative_Docs,IDs
61,17,61_options_campus_on_offer,"['options', 'campus', 'on', 'offer', 'affordable', 'healthy', 'cheaper', 'along', 'healthier', 'housing']","['More affordable housing options. More healthy and affordable options for food near campus.', 'Offer more free or low-cost healthy food options on campus.  Offer lower cost student housing options.', 'Offer housing options to both employees and students, along with better benifits that support our living situations and need for healthier food options. Would also like to see local food vendors/resources provided on campus so that those with full time jobs can stop by']","['2881', '5914', '6286', '6583', '6598', '6682', '6927', '7083', '7877', '7890', '8031', '8148', '8932', '10271', '12140', '13127', '14424']"
62,17,62_cafeteria_open_canteen_dormitory,"['cafeteria', 'open', 'canteen', 'dormitory', 'run', 'deli', 'opened', 'facilities', 'company', 'provides']","['Have a cafeteria.', 'have a cafeteria ', 'open a cafeteria']","['996', '2392', '2457', '2557', '4044', '4091', '4399', '4570', '6013', '9793', '10254', '10655', '11172', '12298', '12343', '13226', '14639']"
63,17,63_insecurity_many_obese_overweight,"['insecurity', 'many', 'obese', 'overweight', 'morbidly', 'plates', 'students', 'one', 'housing', 'who']","['Many more students here at Mesalands College are affected by food insecurity than is obvious from statistical data.  Many students do not wish their peers to know of their housing and food insecurity. ', 'In glancing around the cafeteria and the town--one sees many many many morbidly obese and moderately overweight individuals- rarely does one see thin people in this community---', 'This food insecurity issue has been blown WAY out of proportion- In fact---I often see morbidly obese and just overweight and fat students all around campus- and I am not alone- when I lunch with co-workers we see obesity and students eating plates and plates of pizza- instead of a nutritious well balanced meal']","['5941', '6364', '6877', '7573', '8960', '12080', '14988', '2947', '3148', '11629', '4399', '5388', '6872', '8066', '10421', '14202', '14915']"
64,17,64_lunch_bring_supposed_hour,"['lunch', 'bring', 'supposed', 'hour', 'eat', 'work', 'back', 'home', 'lunches', 'breakfast']","[""For me, it's not, really. But for those who get 1/2 hour for lunch, it probably is affecting their health and work because they'd need to bring food to work or eat snacks from the machines."", ""Lunch time is touch because I often push back my lunch hour to complete tasks at work and by the time I leave for lunch I feel rushed to come back due to it being outside of my allotted time so I usually don't eat until I get home after work."", 'I do not eat out for lunch.  I am the only person in my office who goes home to eat lunch.  It is cheaper.  I do not engage in that ""social"" aspect of lunch hour. Currently, I live in my parent\'s rental mobile home for free. This is supposed to be temporary.  I have a car payment and pay utilities.  I cannot afford the monthly car insurance that I am supposed to pay my parents. ']","['363', '410', '425', '1141', '1565', '2703', '3349', '7408', '8031', '8967', '10251', '12411', '13281', '13394', '14085', '14770', '10279']"
65,17,65_isn_it_matter_didn,"['isn', 'it', 'matter', 'didn', '', '', '', '', '', '']","[""it isn't"", ""It isn't"", ""It isn't""]","['989', '2822', '3327', '3532', '5559', '6342', '6743', '7770', '8022', '8913', '8937', '9657', '9703', '11578', '11879', '13418', '13975']"
66,16,66_know_don_dont_phase,"['know', 'don', 'dont', 'phase', 'knew', 'seem', 'anyone', 'wish', 'things', 'around']","[""I don't know."", ""I don't know"", ""I don't know""]","['1222', '2226', '3270', '3936', '5643', '6241', '6281', '8155', '8953', '10012', '12105', '12705', '13763', '13839', '13988', '14715']"
67,15,67_effect_affect_impact_no,"['effect', 'affect', 'impact', 'no', 'comparative', 'little', 'great', 'much', 'have', 'not']","['No effect.', 'No effect.', 'no effect']","['895', '2122', '2532', '2548', '4205', '5503', '6090', '6116', '6631', '9167', '12354', '12583', '12661', '12680', '14715']"
68,14,68_transportation_bus_route_city,"['transportation', 'bus', 'route', 'city', 'paso', 'rides', 'busses', 'system', 'unm', 'routes']","[""I rely on ABQ city busses to get to/from work on UNM main campus. Reliability of the bus line I take (790) has become increasingly unreliable, especially for the morning route. The bus is often late to pick us up, or won't show up at all. "", ""I appreciate that this survey exists. I think the public transportation piece is really important. We were excited about the Blue Bus, but haven't heard any updates. Is that still happening? It would be great if we could have a UNM-Taos shuttle that goes into town. It would be great advertising for UNM-Taos and could maybe even increase enrollment. "", 'The city of Albuquerque has decreased bus services; they discontinued a route that would place me within walking distance of my home. I now must ride later bus and walk in the dark home at lease 1-2 times a week. The commuter routes feel safer than the Lomas route (example) I have had two scary rides with people who had outbursts and were threatening to the bus driver and other passengers. the city bus is much more focused on down-town workers with regular work hours and not UNM workers who have later and earlier working hours that are not consistent. I  have only one car and share with my spouse so that I can afford for my disabled son to have transportation; I pay for the least expensive UNM parking, but park in the lot only about once a week. It is expensive parking for just once a week.']","['13000', '1237', '7998', '9142', '11008', '11547', '13000', '15038', '543', '707', '1109', '3410', '9038', '10182']"
69,14,69_isn_moment_currently_it,"['isn', 'moment', 'currently', 'it', 'at', 'noticed', 'now', 'beginning', 'period', 'gone']","[""It isn't, currently."", ""At the moment, it isn't."", ""It isn't at the moment. ""]","['2665', '2848', '3163', '3854', '6313', '6682', '7906', '8884', '9133', '9280', '13300', '14604', '4710', '7940']"
70,13,70_me_affecting_does_affect,"['me', 'affecting', 'does', 'affect', 'not', 'affected', 'negatively', 'blessed', 'impacted', 'am']","['It is not affecting me. ', 'It does not affect me. ', 'It is not affecting me.']","['819', '4068', '4256', '5935', '6022', '6802', '8940', '9376', '9702', '11078', '11604', '12211', '14080']"
71,13,71_sure_knowledgeable_answer_question,"['sure', 'knowledgeable', 'answer', 'question', 'not', 'am', 'unsure', 'knowledge', 'ask', 'idea']","[""I'm not sure."", ""I'm not sure."", ""I'm not sure""]","['3823', '4010', '5834', '6153', '6950', '7065', '7729', '9676', '9816', '10183', '11040', '12900', '14330']"
72,12,72_cafeteria_discount_steady_selection,"['cafeteria', 'discount', 'steady', 'selection', 'serve', 'they', 'price', 'carte', 'unmh', 'nationality']","['I wish we had a cafeteria and offered food assistance/discount on cost.', 'The food on the cafeteria is expensive and the discount is 10% discount is hardly a discount.', ""The cafeteria could start offering a la carte dishes, and serve people as individuals, and not forcing people to take a whole meal when all they want is a simple serving.  I'm not saying that they should offer less and cut everything down.  They just need to allow people to choose what they want to eat.  Maybe serve by the items of choice per person.""]","['718', '2650', '6300', '6998', '7445', '8034', '9008', '11065', '11166', '12320', '13316', '13867']"
73,12,73_pay_more_me_us,"['pay', 'more', 'me', 'us', 'give', 'charge', 'money', 'funds', 'less', 'could']","['Pay more', 'Pay more', 'pay more ']","['1441', '2574', '5827', '6256', '6943', '7954', '8945', '10687', '12457', '14573', '15222', '8945']"
74,12,74_santa_fe_ineligible_spend,"['santa', 'fe', 'ineligible', 'spend', '1400', 'pools', 'train', 'in', 'nm', 'costing']","['(1) Pay faculty a living wage for Santa Fe.  (2) Allow faculty who teach online courses to be remote; there is absolutely NO NEED to spend resources to come to campus for online students.  I doubt administration would spend resources so unwisely.', ""I am only staff (full-time), but it was very demoralizing to find that my level of pay, after many years of working here, makes me ineligible for the vast majority of the rental units in Santa Fe.  Ineligible/unaffordable depending on the landlord's or the renter's perspective.  Ineligible based on the percentage of rent to gross income."", 'Housing costs are too high for wages in NM.  Renting or owning...a one bedroom apartment in an average neighborhood costing $1400 or a mortgage costing 1400.  My take home pay does not allow for me to spend that much.  I rent from a friend of the family and they discounted the rent so I could stay there long term.  I do not have a vehicle payment.  I do not travel nor spend much on entertainment.  NM has never been good to me about wages versus cost of living.  I have always struggled in this state.  I am a graduate of NMSU and I have a masters degree.  I hope this helps.  I would like to ask the State of NM to think about adding the Roadrunner train to Socorro or a charter bus.  We currently use van pools and car pools.  I would like to ride the train.']","['3508', '6019', '6020', '6071', '6686', '1167', '1362', '2568', '5987', '7255', '7958', '15214']"
75,11,75_early_leave_hours_pantry,"['early', 'leave', 'hours', 'pantry', 'open', 'often', 'line', 'longer', 'items', 'afternoon']","['Have the food pantry open on several days and more open hours', 'I do not have a place to store food at work such as a refrigerator. Because of this I often leave work early to go home and eat.', ""The food pantry often runs out of food if you're not in line early, hence having to leave work to line up early. I often only get a few items, which really doesn't make it worth it. ""]","['8180', '10102', '5595', '6671', '7086', '10102', '11676', '12211', '13823', '13888', '3463']"
76,11,76_rent_was_property_lease,"['rent', 'was', 'property', 'lease', 'goes', 'again', 'will', 'when', 'my', 'worry']","[""It isn't affecting my work at this time.  My rent contract is due for renewal soon and I worry about the rent hike I know is coming.  My apartment complex has been sold twice in the last 5 years."", ""Right now I'm at stable spot but I worry about new rental leasing with rent increases/landlords or property management not fulfilling their legal roles. My partner and I want to mortgage a house but it seems impossible. When we eventually face these issues I'm sure it will negatively affect my work."", 'I was living with family for financial reasons, but was forced to move out when it became dangerous. During that time, it was very difficult to focus at work because  I was always worried about what was going to be waiting for me at ""home."" At this point, I\'m in a better living situation, but a worse financial one. The rental property I was able to find is very expensive for how much I\'m making, and I\'m currently the only employed person in the household.']","['2615', '2966', '5931', '6195', '7184', '7645', '7809', '9075', '9336', '12831', '14510']"
77,11,77_work_done_gotta_messages,"['work', 'done', 'gotta', 'messages', 'media', 'stops', 'word', 'text', 'brain', 'get']","['Work stops my brain from most of these things. But not always.', ""Tired of working but it's gotta get done"", 'Do more programs and keep getting the word out in emails, social media, text messages. ']","['1433', '1501', '1513', '4878', '6305', '7753', '13039', '13953', '15211', '11071', '9864']"
78,11,78_nope_nah__,"['nope', 'nah', '', '', '', '', '', '', '', '']","['nope', 'Nope.', 'Nope. ']","['718', '1154', '6237', '8936', '9310', '9438', '9467', '13761', '13885', '14101', '15038']"
