Topic,Count,Name,Representation,Representative_Docs_x,IDs,Representative_Docs_y
42,21,42_effect_affect_does_effecting,"['effect', 'affect', 'does', 'effecting', 'impact', 'comparative', 'noticed', 'treatment', 'me', 'negatively']","['effect.', 'effect', 'does effect']","['737', '2548', '2704', '5503', '5899', '5935', '6116', '6438', '6631', '6802', '7906', '9376', '11172', '11604', '12126', '12211', '12354', '12661', '12680', '14080', '12887']","['does affect it.', 'effect', 'does affect', 'effect', 'effecting']"
43,20,43_concentrate_stomach_focus_eat,"['concentrate', 'stomach', 'focus', 'eat', 'can', 'hungry', 'energy', 'lack', 'tired', 'inability']","[""inability concentrate, embarrased can't eat coworkers"", ""hungry work can't concentrate."", ""can't concentrate don't eat""]","['1059', '2260', '2560', '2620', '2881', '3112', '3154', '5507', '5585', '5953', '6272', '6732', '7008', '7185', '8896', '8969', '10112', '13226', '13867', '15000']","['hungry tired - unable focus. thinking bills/meals/etc.', ""can't concentrate don't eat"", 'lacking nutritional density experience create difficulties energy levels, focus, accuracy.', ""hungry work can't concentrate."", 'eat healthy afford tired food eat work. stomach problems mention stress.']"
44,20,44_nn_differ_contributes_well,"['nn', 'differ', 'contributes', 'well', 'family', 'provide', '', '', '', '']","['n/a', 'nn/a', 'n/a provide family contributes well. differ.']","['334', '812', '1029', '1093', '2589', '5595', '5986', '6032', '6140', '6252', '8254', '9534', '10371', '10740', '2559', '5681', '9534', '1093', '6197', '8254']","['n/a', 'n/a', 'n/a', 'n/a', 'n/a provide family contributes well. differ.']"
45,20,45_cnm_nice_assistance_offers,"['cnm', 'nice', 'assistance', 'offers', 'pantry', 'great', 'main', 'like', 'wrapped', 'waitlists']","['cnm like business academic institution. students say feel like numbers dealing cnm non-faculty', 'cnm does food banks, really nice. id food, students faculty. great job cnm.', 'food options cnm campus.']","['517', '2816', '2971', '3042', '3454', '3468', '3726', '4068', '5388', '5599', '7008', '11092', '14637', '2840', '3726', '3878', '3882', '4558', '4648', '10485']","[""cnm does food pantry. expanding increasing offers food types food couldn't hurt."", 'think food pantry great wait address food insecurity, think need cnm. love food pantry grow more- place students, staff faculty clothing, furniture, assistance apply state/government assistance, legal mental counseling, etc.', ""days open cnm main campus food panrty. it's open week, line wrapped building. students employees need more!"", 'food pantry cnm tremendous. able pantry, fresh fruit veggies.', 'nice cnm food services relying heavily food trucks.']"
46,20,46_cafeteria_open_dormitory_canteen,"['cafeteria', 'open', 'dormitory', 'canteen', 'run', 'cafe', 'build', 'back', 'please', 'land']","['cafeteria.', 'cafeteria!!!', 'open cafeteria']","['996', '2392', '2457', '2557', '2703', '4044', '4091', '4399', '4570', '5850', '6013', '6080', '9309', '9793', '10254', '11172', '12298', '12343', '13226', '14639']","['re-open cafeteria.', 'cafeteria!!!', 'bring cafeteria back.', 'cafeteria open longer.', ""'-cafeteria campus""]"
47,19,47_santa_fe_state_funds,"['santa', 'fe', 'state', 'funds', 'ineligible', 'sfcc', 'mexico', 'new', 'residents', 'affordable']","[""it's getting impossible stay santa fe"", ""offer regular food service discounted (affordable)and/or free meals. loss cental food services left feeling isolated students leave campus soon class over, longer place visit friends eat regular basis. state need address solutions: coverage tuition, fees books free funding living expenses. housing needs addressed city state. dorms usually considered community colleges, think sfcc offer limited dormitories students required spend large amounts time person campus nursing students. think worth exploring nearby iaia campus dorm rooms available sfcc students, we'd need funds help students expenses. helpful emergency funds available students need move, etc. offer limited funds sfcc foundation, don't think authorized amounts needed pay month's deposit evicted. also, state assist offering covered affordable health insurance employees free money food housing expenses. general, rental options expensive limited. santa fe seniors waiting list housing assistance years. young people access inexpensive housing options. santa fe slowly community poor middle class live."", ""right impacted. pay mortgage, worry losing job recession. realize funds limited home repairs, etc. also, concerned issues particularly sfcc students adjunct faculty facing. it's obvious reason students left college leave santa fe afford live here. albuquerque away. handle commute, interferes ability part-time job. gas prices rise, want commute great distances finish degrees.""]","['4220', '5987', '6530', '11274', '15222', '2841', '3356', '3508', '6019', '6020', '6071', '6686', '11274', '14202', '1362', '2568', '5600', '5987', '15214']","['housing cost makes difficult mid-level professional. roommates household advanced degrees stable income, canâ€™t afford live own.', 'thought going move, income did measure current rental prices santa fe. wondered retiring school getting new job better total income help by, here. idea higher-paid position; retirement income plus job.', ""housing situation ideal. i'm currently living dad husband going school albuquerque living mom. afford pay rent he's going school."", ""right impacted. pay mortgage, worry losing job recession. realize funds limited home repairs, etc. also, concerned issues particularly sfcc students adjunct faculty facing. it's obvious reason students left college leave santa fe afford live here. albuquerque away. handle commute, interferes ability part-time job. gas prices rise, want commute great distances finish degrees."", ""look job state housing isn't bad, able affordable place outside santa fe. affecting long-term outlook career. don't want live state can't solve problems. won't raise family going crime, drugs, overpriced rent.""]"
48,19,48_cafeteria_discount_steady_selection,"['cafeteria', 'discount', 'steady', 'selection', 'price', 'individuals', 'reasonable', 'serve', 'options', 'moderately']","[""cafeteria start offering la carte dishes, serve people individuals, forcing people meal want simple serving. i'm saying offer cut down. just need allow people choose want eat. maybe serve items choice person."", 'affordable cafeteria', 'better food options students. cafeteria']","['12343', '718', '2568', '2650', '2994', '6300', '6998', '7445', '8034', '9008', '9775', '11065', '11166', '12320', '13316', '13867', '15101', '15213', '14915']","['sfcc cafeteria available. east st cafe limited options.', 'better company purchase food cafeteria.', 'free food service cafeteria.', 'cheaper food options cafeteria.', 'provide cafeteria meal plan options.']"
49,18,49_housing_lower_welfare_costs,"['housing', 'lower', 'welfare', 'costs', 'care', 'mortgage', 'nutritious', 'delinquent', 'stale', 'sacrificed']","['present lower costs housing food lower costing items addition current options.', '20-40% patients partially seeking medical care food housing comes inpatient psychiatric care, temporarily.', ""decision sacrifice limited financial resources support housing food. snap helped eat better, nutritious fresh food years. report haven't delinquent mortgage payments (which cost savings compared rent), sacrificed make happen.""]","['6302', '6598', '6607', '10182', '3203', '3811', '6232', '6244', '6305', '6813', '8576', '9128', '9927', '14927', '15169', '7976', '8957', '13495']","['20-40% patients partially seeking medical care food housing comes inpatient psychiatric care, temporarily.', 'food housing expensive afford', 'food mainly stale times housing costs high', 'rental/mortgage food prices high.', ""offer opportunities free discounted food. snack cafe closed expensive. i'm unsure housing options""]"
50,18,50_vouchers_cards_pantries_grocery,"['vouchers', 'cards', 'pantries', 'grocery', 'gift', 'stores', 'case', 'groups', 'items', 'wipes']","['food vouchers, utilities vouchers.', 'provide vouchers need it.', 'food pantries vouchers']","['285', '363', '2545', '3310', '3500', '4093', '4116', '7709', '9687', '10392', '10566', '10731', '10742', '12468', '13232', '13332', '14896', '10216']","['provide anonymous food pantry vouchers available just select groups', 'partner grocery stores companies like pepsi donate food beverages receive tax write offs offset donation.', 'provide vouchers need it.', 'food vouchers, utilities vouchers.', 'grocery vouchers need. food pantries provide household items food preferences.']"
51,18,51_free_provided_meals_day,"['free', 'provided', 'meals', 'day', 'nutritionist', 'freebies', 'scammers', 'grains', 'lapo', 'appear']","['provide free food', 'free food', 'provide free food']","['693', '1059', '1293', '3885', '3913', '4722', '4724', '5585', '5904', '6158', '6656', '7831', '12818', '12821', '12898', '13298', '13447', '7702']","[""really don't know. asking free stuff just makes people advantage causes really need without. pay freebies. usual recipients scammers"", 'free food events - hotdogs/nachos/etc does appear meal day', 'free food boxes people donate food it.', '1 meal day provided lapo met set criteria unm', 'free meals']"
