Topic,Count,Name,Representation,Representative_Docs
66,14,66_subsidies_welfare_subsidize_housing,"['subsidies', 'welfare', 'subsidize', 'housing', 'lower', 'provide', 'incomes', 'similarly', 'intel', 'escalating']","['Buy safe food and give subsidies', 'We will increase public welfare restaurants and welfare housing', 'provide food and housing subsidies']"
67,13,67_moment_isn_currently_it,"['moment', 'isn', 'currently', 'it', 'noticed', 'at', 'gone', 'is', 'not', 'time']","['At the moment it is not.', ""It isn't at the moment. "", ""At the moment, it isn't.""]"
68,13,68_sure_knowledgeable_answer_not,"['sure', 'knowledgeable', 'answer', 'not', 'am', 'unsure', 'question', 'knowledge', 'ask', 'idea']","[""I'm not sure."", ""I'm not sure"", ""I'm not sure.""]"
69,12,69_cafeteria_discount_steady_selection,"['cafeteria', 'discount', 'steady', 'selection', 'serve', 'price', 'carte', 'dishes', 'nationality', 'hardly']","['I wish we had a cafeteria and offered food assistance/discount on cost.', 'The food on the cafeteria is expensive and the discount is 10% discount is hardly a discount.', ""The cafeteria could start offering a la carte dishes, and serve people as individuals, and not forcing people to take a whole meal when all they want is a simple serving.  I'm not saying that they should offer less and cut everything down.  They just need to allow people to choose what they want to eat.  Maybe serve by the items of choice per person.""]"
70,12,70_healthy_sugar_unhealthy_eat,"['healthy', 'sugar', 'unhealthy', 'eat', 'eating', 'trying', 'nut', 'butters', 'carbs', 'unhealthily']","['Trying to eat more healthy therefore can have better health and focus....but cannot because of husband', 'Not being able to easily pack in healthy food for lunch at work makes staying energized and engaged hard. Options for purchase are expensive, unhealthy or both. ', 'provide healthy snacks other than granola bars that are high in sugar and carbs. Some examples are nut, butters/celery, hummus/carrots, bell peppers, cheese/salami and electrolyte drinks (not Gatorade=high in sugar)']"
71,12,71_transportation_bus_route_protocol,"['transportation', 'bus', 'route', 'protocol', 'paso', 'rides', 'tbi', 'set', 'unm', 'is']","[""I do not have such problems. However please consider whether organized commutes to & from El Paso or Hatch couldn't help students who live there but study at NMSU-Las Cruces. I regularly have students miss class because of mechanical issues on the road. There are buses between El Paso & Las Cruces, but it's worth asking whether options couldn't be improved either by working more closely with existing busing options or creating new ones."", ""I appreciate that this survey exists. I think the public transportation piece is really important. We were excited about the Blue Bus, but haven't heard any updates. Is that still happening? It would be great if we could have a UNM-Taos shuttle that goes into town. It would be great advertising for UNM-Taos and could maybe even increase enrollment. "", 'The city of Albuquerque has decreased bus services; they discontinued a route that would place me within walking distance of my home. I now must ride later bus and walk in the dark home at lease 1-2 times a week. The commuter routes feel safer than the Lomas route (example) I have had two scary rides with people who had outbursts and were threatening to the bus driver and other passengers. the city bus is much more focused on down-town workers with regular work hours and not UNM workers who have later and earlier working hours that are not consistent. I  have only one car and share with my spouse so that I can afford for my disabled son to have transportation; I pay for the least expensive UNM parking, but park in the lot only about once a week. It is expensive parking for just once a week.\nUNMH does not have a program or set protocol for adult individuals that have traumatic brain injury. It is very difficult to get services and their is not a set protocol as there is in other states. This is a shame as the incidence of TBI is high and it is so very difficult to get SSDI for this condition. As the flagship University and hub for medical care in NM this it is a shame that we do not have a set protocol for caring with individuals who sustain TBI.']"
72,12,72_insecurity_address_experiencing_insecurities,"['insecurity', 'address', 'experiencing', 'insecurities', 'housing', 'those', 'survey', 'people', 'revealed', 'monitored']","['Many of the clients we serve have food and housing insecurity. This is very stressful as options are limited to address the issues they face long term. And not a lot is being done to address root causes. ', ""Thank you for looking into this issue. It affects all members of out community directly and indirectly, even those like me who aren't currently experiencing food insecurity and housing uncertainty."", ""Completing this survey revealed just how lucky I currently am to not be experiencing food or housing insecurity, I want to help those that are affected, but I'm not sure how to have an impact and help those in my community. It is horrible and shocking that people among us are experiencing these insecurities.""]"
73,12,73_tuition_totally_demand_fees,"['tuition', 'totally', 'demand', 'fees', 'money', 'example', 'free', 'are', 'universities', 'providing']","['Students could very likely also use help with money management and budgeting -I have been shocked to see how much a student will spend at Starbucks but then say ""i have no money"" as an example.  Learning how to make better choices with the money that they have can make a big difference in their lives', 'Each state should provide a totally free on-demand/online option for earning a college degree.  The Khan Academy, for example, provides subject-matter lessons that are totally free, are available on demand, and are mostly far better at conveying useful information than in-class courses available at practically any of our public universities.', 'Again, colleges and universities have been corporatized to the point of becoming diploma mills that charge too much tuition/fees and suffer from cognitive dissonance in terms of students needs by superficially providing support but not LOVE. ']"
74,11,74_vouchers_grocery_pantries_case,"['vouchers', 'grocery', 'pantries', 'case', 'stores', 'donate', 'nonprofits', 'usable', 'preferences', 'pepsi']","['Grocery vouchers for those in need.  Food pantries may not provide some household items or food preferences.  ', 'Food vouchers, utilities vouchers.', 'Food pantries or vouchers']"
75,11,75_healthy_harder_countries_rampant,"['healthy', 'harder', 'countries', 'rampant', 'cancer', 'richest', 'good', 'industry', 'hungry', 'disease']","[""It's disgusting that one of the richest countries in the world has students trying to get a good education and going hungry.  "", ""It's getting harder and harder to afford healthy food. The meals at the schools are not very good but my kids are forced to eat it because there is nothing else."", 'I often wonder how students are able to learn anything when they are so hungry.  We have a real problem here in Farmington.  The fast food industry is rampant, but not much of a good choice with respect to the food.  I would like to see healthier choices that would keep our community from diabetes, heart disease, and cancer.']"
76,11,76_dorms_dorm_taos_low,"['dorms', 'dorm', 'taos', 'low', 'build', 'yourself', 'sjc', 'lea', 'regional', 'proposes']","[""SJC has new dorms but I don't know much about them. My assumption would be to add more dorms. "", 'NMJC and State of NM could buy the vacant (Lea Regional Hospital) building near campus. Turn the property into low income housing or dorms, allow cafeteria access to residents. ', ""Working with Taos County and Town of Taos, maybe some sort of low-income housing for students, teachers, health workers, etc.  I don't think a dorm situation would work for the Taos campus.""]"
77,11,77_move_commute_my_consistently,"['move', 'commute', 'my', 'consistently', 'apartment', 'somewhere', 'lost', 'home', 'couldn', 'unsafe']","['If the house I live in is not safe now, I will choose to move out to find another place, so it may cause my residence to be remote from my job location and affect my working hours.', ""I lost my last job because they changed my work location, which I couldn't do with my car that couldn't handle the commute and was shared, getting two people to and from work. "", 'Consistently worried about being priced out of my apartment, do not take home enough after ERB and taxes to buy a home that is livable (acutally has wiring, roof not caving in, etc).  My apt building is falling down and owner makes no changes, when does do updates, raises rent.  I have a fridge that consistently stops cooling, so i lose my food.  I have an oven that jumps to 500degree randomly so I ruin/burn food.  These worries makes it hard to plan, prep, and save to find somewhere new.  All open listings of apartments are double or more what I pay now, so I cannot afford to move somewhere better or safer.  Do not want to move neighborhoods even if it is unsafe because if my car breaks I can still walk to work. ']"
78,11,78_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['Not at all.', 'Not at all.', 'Not at all. ']"
79,11,79_nope_nah__,"['nope', 'nah', '', '', '', '', '', '', '', '']","['Nope', 'nope!', 'Nope.']"
80,10,80_faculty_staff_pantry_open,"['faculty', 'staff', 'pantry', 'open', 'healthy', 'allow', 'you', 'shortages', 'shac', 'support']","['Make the food pantry available for staff and faculty. ', 'Have the food pantry also support faculty and staff', 'Have the food pantry open to staff and faculty that need it. Have more healthy food available.']"
81,10,81_itâ_care_their_challenges,"['itâ', 'care', 'their', 'challenges', 'them', 'definitely', 'ago', 'before', 'rather', 'lot']","['Many of my students struggle with these obstacles which makes it difficult for them to get to work and/or take care of themselves and their families.', 'I feel that Universities focus on Students only. However, they are not the only ones struggling. People who work full time can still be struggling and trying to find ways to ""stay above water"" while taking care of their own bills and responsibilities to others.', 'Mainly by watching this widespread crisis impact my students lives.\n\nI definitely give a lot of extensions for folks who are having a hard time. I donâ€™t want them to give up on school and the chance for the life that they aspire to itâ€™s always a little heartbreaking when they have to drop a course or donâ€™t do very well, and I know that itâ€™s due to external factors such as food and housing insecurity for them or their families.\n\nThis is just something that I didnâ€™t see you 10 years ago and definitely nothing like it. 25 years ago.\n\nIâ€™m curious to see how prevalent this is because it feels like itâ€™s impacting just about all of them. ']"
