Topic,Count,Name,Representation,Representative_Docs,IDs
52,20,52_housing_community_having_pantry,"['housing', 'community', 'having', 'pantry', 'offer', 'dorms', 'students', 'reduce', 'issue', 'believe']","['change food pantry free groceries stigma host popup events dorms student employment just talk food pantry food pantrys makes like students need prove lowincome desperately need food create affordable housing reduce costs associated housing like parking student fees books mandatory housing firstyear unm students renovate laguna hokona older dorms make little appealing pay hefty monthly rent', 'really proud campus recent food security initiative launching campus cabinet food bank current prospective students like campus cabinet grow increase capacity food pick ups include basic hygiene household items shampoo soap deodorant detergents like campus address lack oncampus housing community college small city serving primarily nontraditional students dont know dorms feasible like partner local housing programs provide subsidized housing students launch roommatefinding program help students reduce housing costs', 'food housing insecurity wide spread issue certain class stigma attached best way overcome stigmas talk issue believe places public gatherings offer space community provide places built community community gardens instead decorative vegetation food producing trees plants abundance harvest season community able use shared space practice food preservation season winter green houses high tunnels winter crops grown extra food given food pantries crazy food thrown trash know bite come']","['1128', '1292', '1332', '1357', '3468', '6646', '7327', '7751', '8079', '8918', '9084', '9191', '9571', '10447', '10706', '11061', '11863', '13830', '14219', '10977']"
53,20,53_cafeteria_discount_steady_serve,"['cafeteria', 'discount', 'steady', 'serve', 'selection', 'price', 'trucks', 'individuals', 'reasonable', 'hardly']","['cafeteria start offering la carte dishes serve people individuals forcing people meal want simple serving im saying offer cut just need allow people choose want eat maybe serve items choice person', 'affordable cafeteria', 'better food options students cafeteria']","['718', '2568', '2650', '2956', '2994', '6300', '6998', '7445', '8034', '9008', '9775', '11065', '11166', '12320', '13316', '13317', '13867', '15101', '15213', '14915']"
54,19,54_affect_does_doesnt_work,"['affect', 'does', 'doesnt', 'work', 'affects', 'believe', 'impact', 'basically', 'effecting', 'comes']","['does affect work', 'does affect work', 'does affect work']","['979', '1158', '2394', '2760', '2840', '3474', '6933', '7088', '7283', '8064', '8955', '8964', '9067', '9096', '10620', '10715', '10778', '11076', '13232']"
55,18,55_clothes_poor_society_right,"['clothes', 'poor', 'society', 'right', 'money', 'way', 'fortunate', 'government', 'saving', 'planet']","['fortunate wellpaid position twoincome household elements financial security difficult elderly parents need financial assistance expenses getting collegeage kids school high inflation american dream presented goal media public discourse require multiple times salary earn think im relatively high wage earner nm spite salary im living paycheck paycheck unable meaningful contributions savings struggles imagine harder earn really important country address growing divide', 'like inflation like use years ago like able k medical insurance government programs cover annual shots spayneuter boardcertified vets households just low income think government look closer lowincome people nicer things lot people low income nails hair newest iphone namebrand clothes nice cars eat lot able live way didnt pay food housing medical expenses play goverment', 'zoom events dont work hr offers stupid online programs waste energy dont reward people shit isnt good planet stop buying cheap swag transforms trash receipt dont shop amazon dont athletes fast food road look problem wide angle lens instead putting bandaid systematic issues giving people cheap food effective exploring need planet overpopulated idiots stop having babies ingredient baby formula corn syrup real problem youll chance right start like']","['1682', '2800', '3080', '3846', '6101', '10036', '13094', '6296', '184', '1634', '2414', '3885', '5905', '8912', '9071', '12827', '13927', '14004']"
56,18,56_cheaper_wages_campus_healthier,"['cheaper', 'wages', 'campus', 'healthier', 'prices', 'lower', 'options', 'offer', 'inflation', 'hotdogs']","['inflation bad wages going food prices believe colleges universities duty provide food options stadium food like hotdogs nachos', 'provide cheaper meal plans lower prices campus', 'cheaper healthier food options students including food pantry pay options provide cost living raises actually match inflation']","['458', '2873', '2881', '5885', '5914', '6028', '6286', '7024', '7075', '7193', '7553', '7890', '8115', '9057', '10116', '12183', '14424', '10177']"
57,17,57_affect_does_emotions_effect,"['affect', 'does', 'emotions', 'effect', 'personally', 'concentrate', 'did', 'little', '', '']","['does affect', 'does affect', 'does affect']","['737', '895', '2122', '2532', '2704', '5935', '6090', '6438', '9167', '9376', '11172', '11604', '12211', '12583', '12827', '14080', '14715']"
58,16,58_drives_fruit_site_bank,"['drives', 'fruit', 'site', 'bank', 'banks', 'highlands', 'satellites', 'prominent', 'fruitsvegetables', 'signs']","['maybe food drives shiprock site', 'food drives', 'food banks drives']","['91', '403', '584', '1114', '1165', '2684', '6074', '6088', '6252', '7494', '8915', '9181', '12158', '12583', '12712', '13907']"
59,16,59_resources_available_advertise_community,"['resources', 'available', 'advertise', 'community', 'say', 'presentationflyers', 'fits', 'displayshare', 'games', 'websiteorganization']","['advertise having resources available community involved include athletic events run food drives present available resources games', 'community resources', 'resources']","['10271', '406', '1214', '3832', '3896', '6728', '8416', '8902', '8964', '9466', '10323', '12368', '15221', '8479', '8969', '15050']"
60,16,60_cnm_montoya_court_nice,"['cnm', 'montoya', 'court', 'nice', 'reopen', 'offers', 'main', 'panrty', 'wrapped', 'tends']","['reopen food court cnm montoya campus', 'provide meals montoya campus cnm', 'food options cnm campus']","['517', '2630', '2644', '2971', '3454', '3726', '4068', '5599', '7008', '10485', '11092', '13850', '2840', '3726', '3882', '10485']"
61,16,61_free_meals_grains_scammers,"['free', 'meals', 'grains', 'scammers', 'freebies', 'drivethrough', 'recipients', 'usual', 'advantage', 'fruits']","['provide free food', 'free meals', 'free food']","['693', '1293', '3709', '3913', '4722', '4724', '5585', '5638', '5904', '6051', '6656', '7831', '12818', '12821', '12898', '7702']"
62,16,62_resources_information_share_reach,"['resources', 'information', 'share', 'reach', 'students', 'newsletters', 'supervisormanager', 'tabling', 'textemail', 'semiannual']","['work students resources', 'resources main campus limited services satellite campuses addressed mainly gathering information place updating information semiannual basis created list students adding outdated verify regularly', 'resources students']","['6247', '2589', '3905', '6399', '6714', '6791', '7847', '7881', '8015', '8278', '8479', '8943', '12109', '13039', '13761', '8064']"
63,15,63_nope_yes_nah_,"['nope', 'yes', 'nah', '', '', '', '', '', '', '']","['nope', 'nope', 'nope']","['954', '7218', '14422', '12410', '718', '1154', '6237', '8936', '9310', '9438', '9467', '13761', '13885', '14101', '15038']"
64,15,64_faculty_salaries_staff_bonuses,"['faculty', 'salaries', 'staff', 'bonuses', 'value', 'better', 'increase', 'raises', 'simply', 'annual']","['increase faculty staff salaries', 'increase salaries faculty staff', 'pay higher wages staff fact faculty bonuses incentives annual raises single year staff seen increase couple years absurd staff work harder faculty perks fom annual raises bonuses discuss equity talking glaring issue faculty earn staff simply completed basic degree']","['8954', '211', '1603', '3878', '5815', '5825', '6149', '6272', '8961', '8966', '9056', '9327', '7066', '9056', '9486']"
65,14,65_unsure_know_knowledgeable_unaware,"['unsure', 'know', 'knowledgeable', 'unaware', 'knew', 'knowledge', 'awareness', 'aware', 'wish', 'im']","['unsure', 'unsure', 'unsure']","['109', '3893', '6950', '7065', '7866', '9030', '9172', '9513', '9816', '10012', '10057', '12427', '13730', '13839']"
66,14,66_lunch_lunches_youre_bring,"['lunch', 'lunches', 'youre', 'bring', 'hour', 'challange', 'touch', 'partake', 'severly', 'rushed']","['difficult make sure food bring lunch', 'dont option lunch lunch break', 'lunch time touch push lunch hour complete tasks work time leave lunch feel rushed come outside allotted time usually dont eat home work']","['363', '410', '425', '1565', '2537', '2737', '7408', '8967', '10251', '10628', '12411', '13281', '14770', '6732']"
67,13,67_familiar_learn_support_students,"['familiar', 'learn', 'support', 'students', 'help', 'adults', 'mechanisms', 'bilingual', 'interaction', 'administrative']","['campus staff helping familiar family setting helps students staff help need', 'students need positive interactions substantial support learn successfully', 'know address ways familiar current help provide additional solutions serve older adults little interaction students']","['13278', '2167', '5941', '6240', '6284', '8979', '9070', '9290', '11596', '318', '1332', '2508', '11287']"
68,13,68_school_good_institutionâ_pleased,"['school', 'good', 'institutionâ', 'pleased', 'policemen', 'doing', 'university', 'efforts', 'job', 'change']","['think university doing good job', 'school good', 'school good']","['852', '1427', '5015', '5093', '6326', '6599', '6658', '12746', '13756', '13798', '15235', '8437', '13706']"
69,13,69_effect_effecting_impact_comparative,"['effect', 'effecting', 'impact', 'comparative', 'treatment', 'negatively', 'impacted', 'blessed', 'improve', 'affects']","['effect', 'effect', 'effect']","['2548', '4205', '5503', '5899', '6116', '6631', '6802', '7647', '12126', '12354', '12661', '12680', '12887']"
70,12,70_week_remote_day_friday,"['week', 'remote', 'day', 'friday', 'saved', 'ease', 'travel', 'days', 'work', 'home']","['think ways days employees maybe work home help ease buderen worrying transportation money saved food', 'work home friday maybe ease burden worrying gas money saved trowards food college dose business friday', 'hour work week antiquated assumes fulltime employees partner home handling housework shopping childcare food preparation todays world does support partners members pair working order survive legitimately time']","['417', '2370', '2557', '2603', '7144', '10776', '6568', '7652', '10776', '13020', '2560', '2871']"
71,12,71_affect_mood_let_try,"['affect', 'mood', 'let', 'try', 'work', 'duress', 'negativity', 'reputable', 'affectng', 'determined']","['try costs let affect work', 'try let affect work', 'try let affect work']","['211', '1105', '2530', '2741', '3508', '4681', '5813', '7696', '9062', '10622', '11039', '13997']"
72,12,72_doing_plenty_respect_present,"['doing', 'plenty', 'respect', 'present', 'share', 'open', 'going', 'lot', 'like', 'know']","['doing', 'like doing plenty', 'dont know think doing plenty']","['5509', '7940', '503', '577', '837', '3886', '6803', '7753', '10346', '12369', '12688', '5249']"
73,12,73_comment_thought_mind_response,"['comment', 'thought', 'mind', 'response', 'gave', 'previous', 'thinking', 'share', 'think', 'help']","['gave thought', 'comment', 'comment']","['3823', '6441', '14607', '2394', '3966', '4759', '7638', '10826', '13792', '4759', '7327', '14445']"
74,11,74_problems_problem_presently_god,"['problems', 'problem', 'presently', 'god', 'whats', 'issues', 'solution', 'solutions', 'personally', 'issue']","['doesnt problems', 'dont problems', 'presently problems thank god']","['3491', '7017', '9029', '9038', '11557', '13283', '14880', '10395', '10762', '13706', '9864']"
75,10,75_santa_fe_moved_albuquerque,"['santa', 'fe', 'moved', 'albuquerque', 'differently', 'arizona', 'personnel', 'sofa', 'california', 'trust']","['moved albuquerque work rent sleep relatives sofa months rental apartment moved arizona', 'look job state housing isnt bad able affordable place outside santa fe affecting longterm outlook career dont want live state solve problems wont raise family going crime drugs overpriced rent', 'just moved new apartment santa fe rent double paying needed cut expenses foodetc']","['6029', '6346', '8014', '15222', '1362', '2568', '6340', '7255', '8130', '13067']"
76,10,76_selctions_mercado_pricing_prices,"['selctions', 'mercado', 'pricing', 'prices', 'lower', 'affordable', 'expensive', 'options', 'bit', 'cheaper']","['lower prices bit', 'selctions expensive', 'lower prices mercado']","['12396', '744', '1076', '3822', '5826', '6076', '6528', '6688', '9098', '9218']"
